2.368233420759942587e-01 1.242713534894276606e+01 -2.233255938091948112e-01 6.207756238145643479e+00 8.044243710478139064e+01 -2.121011701885604452e+02 -9.716892120334271965e+01 3.555000000000000000e+03 1.000000000000000000e+00
5.902407346110218889e-01 1.240865998640803980e+01 -2.279115485241478556e-01 6.191870065612220309e+00 8.015234326476793569e+01 -2.122041867570755187e+02 -9.742990295495904718e+01 5.636000000000000000e+03 1.000000000000000000e+00
2.064208287648388596e-01 1.157239825430831104e+01 1.835563113707366689e+00 7.179971869594809597e+00 1.032986745509173687e+02 -2.108673273473755216e+02 -8.099545911004436505e+01 1.336000000000000000e+04 1.000000000000000000e+00
1.213171277506209345e+00 1.248198262749947851e+01 -4.695368253021607874e-01 6.042841805947449352e+00 7.763453683503023228e+01 -2.122277464373059104e+02 -9.954154770930583140e+01 1.562800000000000000e+04 1.000000000000000000e+00
6.750454564151896486e-01 9.529272068552618435e+00 5.367744457234127076e+00 8.331213751952271096e+00 1.384554643438866322e+02 -1.991233244756090812e+02 -5.021861483627244382e+01 5.000000000000000000e+00 1.000000000000000000e+00
1.555639230369613435e-01 1.040697956711152905e+01 3.911184238649209277e+00 7.942834313981782302e+00 1.251448334869622983e+02 -2.056602327312535294e+02 -6.243803654248031876e+01 6.000000000000000000e+00 1.000000000000000000e+00
1.466243691903654500e-01 1.235800715751223677e+01 -7.882542537470349497e-02 6.267766126503865998e+00 8.209199623753013952e+01 -2.122396663171820705e+02 -9.618388365687293629e+01 7.000000000000000000e+00 1.000000000000000000e+00
1.199615759992061825e+00 1.362193039098175973e+01 -4.830083600189547965e+00 3.499046915193778418e+00 2.489711915233743866e+01 -2.001746496481418376e+02 -1.255442849033644990e+02 8.000000000000000000e+00 1.000000000000000000e+00
1.593154789180873665e-01 1.326032179251969900e+01 -2.828972825770888377e+00 4.716445954851856470e+00 4.872815182791413235e+01 -2.076052397224148933e+02 -1.156486830172536457e+02 9.000000000000000000e+00 1.000000000000000000e+00
1.378974851333841567e+00 1.352459464865859928e+01 -4.080038459255570515e+00 3.999038571551668309e+00 3.445263064356744565e+01 -2.032203118484076469e+02 -1.214910794942928050e+02 1.000000000000000000e+01 1.000000000000000000e+00
